"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-12","2019","06","12","","21.5","","11.1","","16.3","","1.7","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-13","2019","06","13","","17.2","","13.3","","15.3","","2.7","","0.0","","","","","","19.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-14","2019","06","14","","23.3","","12.2","","17.8","","0.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-15","2019","06","15","","20.4","","15.0","","17.7","","0.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-16","2019","06","16","","19.6","","12.0","","15.8","","2.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-17","2019","06","17","","21.5","","15.1","","18.3","","0.0","","0.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-18","2019","06","18","","24.6","","16.7","","20.7","","0.0","","2.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-19","2019","06","19","","25.1","","16.3","","20.7","","0.0","","2.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-20","2019","06","20","","21.7","","16.3","","19.0","","0.0","","1.0","","","","","","15.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-21","2019","06","21","","24.0","","14.9","","19.5","","0.0","","1.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-22","2019","06","22","","25.4","","14.2","","19.8","","0.0","","1.8","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-23","2019","06","23","","25.8","","14.3","","20.1","","0.0","","2.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-24","2019","06","24","","24.2","","16.0","","20.1","","0.0","","2.1","","","","","","18.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-25","2019","06","25","","26.2","","17.2","","21.7","","0.0","","3.7","","","","","","0.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-26","2019","06","26","","29.5","","18.4","","24.0","","0.0","","6.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-27","2019","06","27","","28.6","","18.3","","23.4","","0.0","","5.4","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-28","2019","06","28","","28.4","","19.3","","23.8","","0.0","","5.8","","","","","","13.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-29","2019","06","29","","28.6","","19.4","","24.0","","0.0","","6.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-06-30","2019","06","30","","25.1","","18.0","","21.5","","0.0","","3.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-01","2019","07","01","","26.3","","15.9","","21.1","","0.0","","3.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-02","2019","07","02","","25.7","","21.0","","23.4","","0.0","","5.4","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-03","2019","07","03","","28.2","","19.9","","24.1","","0.0","","6.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-04","2019","07","04","","28.7","","19.6","","24.2","","0.0","","6.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-05","2019","07","05","","30.8","","21.4","","26.1","","0.0","","8.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-06","2019","07","06","","29.3","","21.8","","25.6","","0.0","","7.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-07","2019","07","07","","23.4","","17.6","","20.5","","0.0","","2.5","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-08","2019","07","08","","25.3","","15.9","","20.6","","0.0","","2.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-09","2019","07","09","","27.1","","16.1","","21.6","","0.0","","3.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-10","2019","07","10","","29.2","","17.3","","23.2","","0.0","","5.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-11","2019","07","11","","29.8","","17.7","","23.8","","0.0","","5.8","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-12","2019","07","12","","24.4","","17.6","","21.0","","0.0","","3.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-13","2019","07","13","","28.2","","17.2","","22.7","","0.0","","4.7","","","","","","16.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-14","2019","07","14","","27.3","","17.4","","22.3","","0.0","","4.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-15","2019","07","15","","27.0","","16.2","","21.6","","0.0","","3.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-16","2019","07","16","","32.0","","18.3","","25.1","","0.0","","7.1","","","","","","6.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-17","2019","07","17","","28.3","","22.1","","25.2","","0.0","","7.2","","","","","","19.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-18","2019","07","18","","28.1","","21.6","","24.8","","0.0","","6.8","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-19","2019","07","19","","30.2","","22.7","","26.5","","0.0","","8.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-20","2019","07","20","","33.8","","21.7","","27.7","","0.0","","9.7","","","","","","4.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-21","2019","07","21","","29.4","","21.2","","25.3","","0.0","","7.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-22","2019","07","22","","24.1","","18.4","","21.2","","0.0","","3.2","","","","","","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-23","2019","07","23","","26.4","","17.0","","21.7","","0.0","","3.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-24","2019","07","24","","26.3","","17.6","","22.0","","0.0","","4.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-25","2019","07","25","","27.9","","16.7","","22.3","","0.0","","4.3","","","","","","1.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-26","2019","07","26","","29.0","","18.5","","23.7","","0.0","","5.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-27","2019","07","27","","28.6","","19.5","","24.0","","0.0","","6.0","","","","","","1.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-28","2019","07","28","","31.0","","20.4","","25.7","","0.0","","7.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-29","2019","07","29","","29.6","","20.4","","25.0","","0.0","","7.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-30","2019","07","30","","28.0","","19.6","","23.8","","0.0","","5.8","","","","","","22.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-07-31","2019","07","31","","26.2","","17.3","","21.7","","0.0","","3.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-01","2019","08","01","","26.0","","17.7","","21.8","","0.0","","3.8","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-02","2019","08","02","","26.8","","17.8","","22.3","","0.0","","4.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-03","2019","08","03","","28.3","","16.9","","22.6","","0.0","","4.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-04","2019","08","04","","25.4","","18.7","","22.0","","0.0","","4.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-05","2019","08","05","","28.3","","17.0","","22.7","","0.0","","4.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-06","2019","08","06","","26.5","","19.7","","23.1","","0.0","","5.1","","","","","","5.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-07","2019","08","07","","26.7","","19.3","","23.0","","0.0","","5.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-08","2019","08","08","","26.5","","18.0","","22.2","","0.0","","4.2","","","","","","4.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-09","2019","08","09","","25.8","","16.1","","20.9","","0.0","","2.9","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-10","2019","08","10","","25.1","","14.9","","20.0","","0.0","","2.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-11","2019","08","11","","26.9","","14.1","","20.5","","0.0","","2.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-12","2019","08","12","","27.6","","19.6","","23.6","","0.0","","5.6","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-13","2019","08","13","","27.8","","20.2","","24.0","","0.0","","6.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-14","2019","08","14","","25.4","","18.2","","21.8","","0.0","","3.8","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-15","2019","08","15","","23.8","","17.1","","20.5","","0.0","","2.5","","","","","","3.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-16","2019","08","16","","24.4","","17.7","","21.0","","0.0","","3.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-17","2019","08","17","","26.0","","19.1","","22.5","","0.0","","4.5","","","","","","24.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-18","2019","08","18","","26.9","","19.7","","23.3","","0.0","","5.3","","","","","","3.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-19","2019","08","19","","28.4","","18.6","","23.5","","0.0","","5.5","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-20","2019","08","20","","27.1","","17.4","","22.2","","0.0","","4.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-21","2019","08","21","","29.7","","20.4","","25.0","","0.0","","7.0","","","","","","1.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-22","2019","08","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-23","2019","08","23","","22.8","","14.5","","18.6","","0.0","","0.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-24","2019","08","24","","21.7","","13.2","","17.4","","0.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-25","2019","08","25","","22.9","","15.3","","19.1","","0.0","","1.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-26","2019","08","26","","23.8","","17.7","","20.7","","0.0","","2.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-27","2019","08","27","","22.0","","18.3","","20.1","","0.0","","2.1","","","","","","12.6","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-28","2019","08","28","","26.8","","18.1","","22.5","","0.0","","4.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-29","2019","08","29","","24.8","","16.6","","20.7","","0.0","","2.7","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-30","2019","08","30","","24.8","","15.5","","20.1","","0.0","","2.1","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-08-31","2019","08","31","","21.9","","13.0","","17.5","","0.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-01","2019","09","01","","19.7","","16.1","","17.9","","0.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-02","2019","09","02","","23.7","","17.0","","20.3","","0.0","","2.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-03","2019","09","03","","22.7","","15.0","","18.8","","0.0","","0.8","","","","","","5.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-04","2019","09","04","","21.7","","13.8","","17.8","","0.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-05","2019","09","05","","21.3","","11.7","","16.5","","1.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-06","2019","09","06","","20.9","","13.4","","17.1","","0.9","","0.0","","","","","","0.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-07","2019","09","07","","22.7","","12.2","","17.4","","0.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-08","2019","09","08","","18.4","","11.7","","15.0","","3.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-09","2019","09","09","","19.0","","10.4","","14.7","","3.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-10","2019","09","10","","23.2","","12.8","","18.0","","0.0","","0.0","","","","","","13.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-11","2019","09","11","","27.7","","18.3","","23.0","","0.0","","5.0","","","","","","0.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-12","2019","09","12","","19.4","","13.6","","16.5","","1.5","","0.0","","","","","","0.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-13","2019","09","13","","21.4","","15.3","","18.3","","0.0","","0.3","","","","","","4.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-14","2019","09","14","","22.7","","15.7","","19.2","","0.0","","1.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-15","2019","09","15","","18.4","","13.5","","16.0","","2.0","","0.0","","","","","","2.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-16","2019","09","16","","18.1","","13.6","","15.9","","2.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-17","2019","09","17","","22.8","","12.5","","17.7","","0.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-18","2019","09","18","","22.5","","13.8","","18.2","","0.0","","0.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-19","2019","09","19","","22.9","","15.1","","19.0","","0.0","","1.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-20","2019","09","20","","24.3","","14.2","","19.3","","0.0","","1.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-21","2019","09","21","","27.0","","17.4","","22.2","","0.0","","4.2","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-22","2019","09","22","","29.9","","20.0","","24.9","","0.0","","6.9","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-23","2019","09","23","","25.2","","15.9","","20.6","","0.0","","2.6","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-24","2019","09","24","","22.2","","14.3","","18.3","","0.0","","0.3","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-25","2019","09","25","","25.0","","14.1","","19.5","","0.0","","1.5","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-26","2019","09","26","","22.1","","11.9","","17.0","","1.0","","0.0","","","","","","3.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-27","2019","09","27","","22.0","","10.9","","16.4","","1.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-28","2019","09","28","","20.7","","13.1","","16.9","","1.1","","0.0","","","","","","4.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-29","2019","09","29","","14.6","","10.4","","12.5","","5.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-09-30","2019","09","30","","16.9","","12.4","","14.6","","3.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-01","2019","10","01","","29.6","","15.3","","22.5","","0.0","","4.5","","","","","","9.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-02","2019","10","02","","19.6","","10.1","","14.9","","3.1","","0.0","","","","","","9.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-03","2019","10","03","","12.5","","9.1","","10.8","","7.2","","0.0","","","","","","2.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-04","2019","10","04","","12.4","","6.9","","9.6","","8.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-05","2019","10","05","","14.5","","7.2","","10.8","","7.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-06","2019","10","06","","20.3","","13.7","","17.0","","1.0","","0.0","","","","","","1.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-07","2019","10","07","","18.3","","9.4","","13.9","","4.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-08","2019","10","08","","17.5","","8.6","","13.0","","5.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-09","2019","10","09","","17.0","","9.3","","13.1","","4.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-10","2019","10","10","","16.3","","10.6","","13.4","","4.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-11","2019","10","11","","18.0","","13.3","","15.7","","2.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-12","2019","10","12","","15.5","","6.0","","10.8","","7.2","","0.0","","","","","","3.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-13","2019","10","13","","16.6","","5.8","","11.2","","6.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-14","2019","10","14","","12.9","","7.8","","10.4","","7.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-15","2019","10","15","","14.5","","4.9","","9.7","","8.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-16","2019","10","16","","13.7","","8.5","","11.1","","6.9","","0.0","","","","","","20.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-17","2019","10","17","","9.2","","7.6","","8.4","","9.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-18","2019","10","18","","10.9","","4.4","","7.7","","10.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-19","2019","10","19","","12.1","","3.5","","7.8","","10.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-20","2019","10","20","","15.8","","7.9","","11.8","","6.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-21","2019","10","21","","14.7","","9.2","","11.9","","6.1","","0.0","","","","","","0.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-22","2019","10","22","","15.9","","10.5","","13.2","","4.8","","0.0","","","","","","9.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-23","2019","10","23","","14.0","","8.4","","11.2","","6.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-24","2019","10","24","","14.6","","7.0","","10.8","","7.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-25","2019","10","25","","11.5","","6.7","","9.1","","8.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-26","2019","10","26","","11.0","","3.4","","7.2","","10.8","","0.0","","","","","","12.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-27","2019","10","27","","14.1","","9.4","","11.7","","6.3","","0.0","","","","","","32.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-28","2019","10","28","","16.2","","7.2","","11.7","","6.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-29","2019","10","29","","16.0","","9.2","","12.6","","5.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-30","2019","10","30","","10.7","","7.2","","8.9","","9.1","","0.0","","","","","","17.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-10-31","2019","10","31","","12.9","","5.5","","9.2","","8.8","","0.0","","","","","","24.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01","2019","11","01","","5.6","","3.1","","4.4","","13.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02","2019","11","02","","7.8","","2.7","","5.2","","12.8","","0.0","","","","","","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-03","2019","11","03","","6.8","","2.4","","4.6","","13.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-04","2019","11","04","","11.3","","4.5","","7.9","","10.1","","0.0","","","","","","0.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-05","2019","11","05","","10.3","","3.1","","6.7","","11.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-06","2019","11","06","","4.9","","-0.4","","2.2","","15.8","","0.0","","","","","","0.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-07","2019","11","07","","2.9","","-2.3","","0.3","","17.7","","0.0","","","","","","4.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-08","2019","11","08","","0.4","","-4.5","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-09","2019","11","09","","4.4","","-2.5","","1.0","","17.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-10","2019","11","10","","7.7","","-0.3","","3.7","","14.3","","0.0","","","","","","0.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-11","2019","11","11","","0.1","","-6.1","","-3.0","","21.0","","0.0","","","","","","14.1","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-12","2019","11","12","","-4.3","","-8.7","","-6.5","","24.5","","0.0","","","","","","0.2","","15","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-13","2019","11","13","","0.1","","-11.3","","-5.6","","23.6","","0.0","","","","","","1.2","","11","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-14","2019","11","14","","1.7","","-1.5","","0.1","","17.9","","0.0","","","","","","0.8","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-15","2019","11","15","","4.0","","-5.4","","-0.7","","18.7","","0.0","","","","","","0.0","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-16","2019","11","16","","-2.1","","-8.5","","-5.3","","23.3","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-17","2019","11","17","","4.0","","-4.8","","-0.4","","18.4","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-18","2019","11","18","","3.9","","2.3","","3.1","","14.9","","0.0","","","","","","5.8","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-19","2019","11","19","","4.3","","1.7","","3.0","","15.0","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-20","2019","11","20","","8.4","","1.9","","5.1","","12.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-21","2019","11","21","","11.3","","0.8","","6.0","","12.0","","0.0","","","","","","4.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-22","2019","11","22","","11.3","","-0.4","","5.5","","12.5","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-23","2019","11","23","","5.6","","-1.0","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-24","2019","11","24","","6.8","","-0.9","","2.9","","15.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-25","2019","11","25","","7.8","","2.4","","5.1","","12.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-26","2019","11","26","","11.3","","4.7","","8.0","","10.0","","0.0","","","","","","0.0","","","","","M","","M"
